sl no,work,status,year,garam,work type,Total
,(1504009014/IF/93393042892151660),,,,,
274,______ ______ ______ _______ ________ ___ ____ _____ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.06608
,(1504009014/IF/93393042892151664),,,,,
275,________ ______ ______ _________ ______ ___ ____ _____ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.06608
,(1504009014/IF/93393042892151666),,,,,
276,_______ ______ ______ ______ _________ ___ ____ _____ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.06608
,(1504009014/IF/93393042892151668),,,,,
277,______ ______ _______ _______ ___ ___ ______ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.118
,(1504009014/IF/93393042892153423),,,,,
278,_______ ______ ______ _______ __ _____ ___ ___ ______ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.2242
,(1504009014/IF/93393042892153446),,,,,
279,_______ ______ ______ ______ ____ ___ ___ ______ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.08496
,(1504009014/IF/93393042892153454),,,,,
280,_______ ______ _______ ____ ___ _________ ___ ______ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.1416
,(1504009014/IF/93393042892153512),,,,,
281,_______ ______ ________ _____ _______ ___ ___ ______ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.2832
,(1504009014/IF/93393042892157891),,,,,
282,______ __________ _______ _______ ______ ___ ________ ___ _______,physical complete,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.1652
,(1504009014/IF/93393042892161788),,,,,
283,______ __________ ______ ______ ______ ___ ____ _____ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.12272
,(1504009014/IF/93393042892163601),,,,,
284,_______ ______ _______ ______ ____ ___ ___ ______ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.08496
,(1504009014/IF/93393042892171253),,,,,
285,______ ______ _______ ________ _______ ___ __________ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.354
,(1504009014/IF/93393042892172463),,,,,
286,_______ ______ __________ _______ _____ ___ __________ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.34692
,(1504009014/IF/93393042892173438),,,,,
287,_______ __________ _____ ______ _________ ___ ___ ______ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.16992
,(1504009014/IF/93393042892173617),,,,,
288,_______ __________ ______ ______ _____________ ___ ___ ______ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.1416
,(1504009014/IF/93393042892173622),,,,,
289,______ __________ ___________ _____ ______ ________ ______ _____ ______ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.44536
,(1504009014/IF/93393042892174099),,,,,
290,_______ __________ _____ ______ ____ ___ ___ ______ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.08496
,(1504009014/IF/93393042892176927),,,,,
291,______ __________ _______ _______ ______ ___ ________ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.36816
,(1504009014/IF/93393042892176942),,,,,
292,______ _________ ______ ___ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.22046
,(1504009014/IF/93393042892213836),,,,,
293,"______ ________ __,_____ ___ ____ ______ ___ ___ _______",Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.22046
,(1504009014/IF/93393042892214112),,,,,
294,_____ _______ _______ ___ ____ ________ ___ _______,On Going,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.11205
,(1504009014/IF/93393042892216530),,,,,
295,_______ ______ ____ ___ ___ _____ _______,Approved,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892217111),,,,,
296,______ _______ _______ ___ ____ ___ _______,physical complete,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.1992
,(1504009014/IF/93393042892217146),,,,,
297,"________ ______ ____ __,___.________ ____ _____ ___ _______",Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.23406
,(1504009014/IF/93393042892217147),,,,,
298,"_______ _______ ____ __,___,________ ________ ___ _______",Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892217694),,,,,
299,"____ ______ ____ __,___,________ ________ ___ _______",Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892217741),,,,,
300,"________ ______ ____ __,___,________ ________ ___ _______",Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.23655
,(1504009014/IF/93393042892217743),,,,,
301,"_______ ________ _____ __,___,________ ________ ___ _______",Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892217744),,,,,
302,"______ _____ _______ __,___,________ ________ ___ _______",physical complete,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.1494
,(1504009014/IF/93393042892218429),,,,,
303,"_______ _______ _______ __,___,________ ________ ___ _______",On Going,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.18924
,(1504009014/IF/93393042892218430),,,,,
304,_______ _____ _____ ___ ____ ________ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.21165
,(1504009014/IF/93393042892218434),,,,,
305,________ _______ ______ ___ ____ _____ ___ _______.,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.16932
,(1504009014/IF/93393042892218435),,,,,
306,_______ _________ ______ ___ ____ ________ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.22046
,(1504009014/IF/93393042892218475),,,,,
307,________ _________ ______ ___ ____ ________ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.22046
,(1504009014/IF/93393042892218476),,,,,
308,_______ ________ ______ ___ ____ ________ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.22046
,(1504009014/IF/93393042892218479),,,,,
309,__________ ______ _______ ___ ____ ________ ___ _______,physical complete,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.1992
,(1504009014/IF/93393042892219032),,,,,
310,_____ _________ _______ ___ ____ ________ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892219035),,,,,
311,_______ _______ _________ ________ ___ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.22046
,(1504009014/IF/93393042892219037),,,,,
312,_____ _________ ______ ___ ____ ________ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.12948
,(1504009014/IF/93393042892219039),,,,,
313,"_______ ________ __,_____ ___ ____ ________ ___ _______",Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892219040),,,,,
314,________ _______ ___________ ___ ____ ________ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.21299
,(1504009014/IF/93393042892219041),,,,,
315,______ ____ _______ ___ ____ ________ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.1992
,(1504009014/IF/93393042892219042),,,,,
316,"_______ ______ _____ __,___,________ ________ ___ _______",Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892220283),,,,,
317,_______ _________ ______ ___ ____ ________ ___ _______,On Going,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.16434
,(1504009014/IF/93393042892220294),,,,,
318,"_____ ________ ____ __,___,________ ________ ___ _______",Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892220297),,,,,
319,"_________ ______ ____ __,___,________ ________ ___ _______",physical complete,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.1992
,(1504009014/IF/93393042892220817),,,,,
320,"______ ______ ____ __,___,________ ________ ___ _______",On Going,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.13944
,(1504009014/IF/93393042892220820),,,,,
321,"______ ______ _______ __,___,________ ________ ___ _______",Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.18177
,(1504009014/IF/93393042892220827),,,,,
322,"_______ ______ ______ _____ ____ __,___,________ ________ ___ _______",Approved,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892220828),,,,,
323,"_______ _______ ____ __,___,________ ________ ___ _______",physical complete,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892220830),,,,,
324,"_______ ____ ____ __,___,________ ________ ___ _______",Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892221056),,,,,
325,______ ______ _______ ___ ____ ________ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.20916
,(1504009014/IF/93393042892221508),,,,,
326,________ ________ ______ ___ ____ ________ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.23406
,(1504009014/IF/93393042892221514),,,,,
327,_____ __________ _______ ___ ____ ________ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892221516),,,,,
328,_______ _________ _______ ___ ____ ________ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892221810),,,,,
329,_______ ________ _________ ___ ____ ________ ___ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892221814),,,,,
330,_______ ______ _________ __ ___ ________ ____ _____ ___ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892221821),,,,,
331,______ ______ _____ ___ ____ ________ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892223548),,,,,
332,______ ______ ______ __________ ____________ ___ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.23655
,(1504009014/IF/93393042892224997),,,,,
333,_______ ______ ______ _______ _____ ___ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.20667
,(1504009014/IF/93393042892225000),,,,,
334,________ ________ ___ ___ ______ _______,New,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892231456),,,,,
335,______ _ _______ ___ ___ ______ _______,New,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892231458),,,,,
336,_______ _______ ___ ______ _______,New,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892231459),,,,,
337,________ _ ______ ___ ___ ______ _______,New,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892231460),,,,,
338,_______ __ ______ ___ ___ ______ _______,New,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892231461),,,,,
339,______ _ ______ ___ ___ ______ _______,New,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892231462),,,,,
340,________ __ _______ ___ ___ ______ _______,New,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892231463),,,,,
341,_______ _________ ___ ___ ______ _______,New,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892231464),,,,,
342,_____ __ _______ ___ ___ ______ _______,New,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892231465),,,,,
343,______ _ ______ ___ ___ ______ _______,New,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892231466),,,,,
344,________ __ ______ ___ ___ ______ _______,New,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892231467),,,,,
345,______ _ ______ ___ ___ ______ _______,New,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892231468),,,,,
346,_____ _ ______ ___ ___ ______ _______,New,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892231470),,,,,
347,_______ _ ________ ___ ___ ______ _______,New,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892231471),,,,,
348,_________ ______ _____ ________ _____________ ___ _______,On Going,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.10458
,(1504009014/IF/93393042892236819),,,,,
349,______ _____________ _______ ________ _____________ ___ _______,On Going,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.05229
,(1504009014/IF/93393042892236822),,,,,
350,______ ______ _______ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.1992
,(1504009014/IF/93393042892236824),,,,,
351,_______ _______ ____ ________ _____________ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892236826),,,,,
352,_______ ______ ______ _______ ____ ________ _____________ ___ _______,Completed,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892236828),,,,,
353,_______ ______ ______ _____ _________ ___ ____ ___ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892242023),,,,,
354,_______ ______ _________ _________ _____ ________ ________ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892242027),,,,,
355,__________ ______ ______ ______ ________ ___ ____ _____ 17/18 ________ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.15189
,(1504009014/IF/93393042892242632),,,,,
356,__________ ______ _______ _______ ________ ___ ____ _____ 17/18 ________ _______,Approved,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892242637),,,,,
357,__________ ______ _______ ____ ___ ___ ____ _____ 17/18 ________ _______,Approved,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892242641),,,,,
358,__________ ______ ______ _____ _________ ___ ____ _____ 16/17 _____ _________ ___ _______,Approved,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892242643),,,,,
359,__________ ______ ________ _____ _____ ___ ________ ____ _____ 17/18 _____ ___ _______,Approved,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892242659),,,,,
360,__________ ______ ______ _________ _____ ___ ________ ____ _____ 17/18 _____ ___ _______,Approved,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892242661),,,,,
361,__________ ______ _______ _____ _________ ___ ________ ____ _____ 17/18 _____ ___ _______,Approved,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892242664),,,,,
362,__________ ______ ______ ________ _______ ___ ________ ____ _____ 17/18 _____ ___ _______,Approved,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892242665),,,,,
363,__________ ______ _______ _______ ____ ___ ________ ____ _____ 17/18 _____ ___ _______,Approved,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892242668),,,,,
364,__________ ______ ____ ______ _________ ___ ________ ____ _____ 17/18 _____ ___ _______,Approved,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892242672),,,,,
365,__________ ______ ________ ______ _________ ___ ________ ____ _____ 17/18 _____ ___ _______,Approved,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892242673),,,,,
366,__________ ______ _______ _______ _____ ___ ________ ____ _____ 17/18 _____ ___ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.15438
,(1504009014/IF/93393042892242674),,,,,
367,_______ ______ ______ ______ ____ ________ _____________ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.21165
,(1504009014/IF/93393042892242907),,,,,
368,______ _____ ____ ________ _____________ ___ _______,Approved,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892242916),,,,,
369,______ _____ ____ ________ _____________ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.23406
,(1504009014/IF/93393042892242919),,,,,
370,_______ ______ ______ _______ ____ ___ ________ 17/18 _____ ___ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892243462),,,,,
371,_______ ______ _____ ________ _____ ________ ____ _____ 17/18 ________ _______,New,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892246704),,,,,
372,_______ ______ _____ ________ _____ ________ ____ _____ 17/18 ________ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892246709),,,,,
373,______ ______ _______ _____ ____ ___ ___ _______ 1268158,On Going,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.13944
,(1504009014/IF/93393042892248840),,,,,
374,______ ______ ____ _______ ______ ___ ___ _______,physical complete,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0.15438
,(1504009014/IF/93393042892248856),,,,,
375,______ ______ _________ _____ ____ ___ ___ _______,Approved,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892248857),,,,,
376,______ ______ _______ _______ ____ ___ ___ _______,Approved,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892248858),,,,,
377,______ __________ _______ _______ ____ ___ ___ _______,Approved,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892248859),,,,,
378,_________ ________ _____ _____ ___ ___ _______,Approved,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892248861),,,,,
379,________ ______ ______ _________ _____,Approved,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892248862),,,,,
380,________ ______ _______ _____ _________ ___ ___ _______,Approved,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892248963),,,,,
381,________ ______ ________ ______ ____ ___ ___ _______,Approved,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892248966),,,,,
382,__________ ______ ____ ______ _________ ___ ___ _______,Approved,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892248968),,,,,
383,__________ ______ ______ ______ _________ ___ ___ _______,Approved,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892248969),,,,,
384,__________ ______ _______ _______ _____ ___ ___ _______,Approved,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892248970),,,,,
385,______ ______ ______ _______ ____ ___ ____ _____ ___ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.12948
,(1504009014/IF/93393042892248971),,,,,
386,______ ______ ______ ______ ____ ___ ___ _______,Approved,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892248972),,,,,
387,______ ______ ______ ____ ____ ___ ___ _______,Approved,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892248973),,,,,
388,______ ______ ______ ______ ____ ___ ___ _______,Approved,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892248974),,,,,
389,______ ______ _____ ________ _______ ___ ___ _______,Approved,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892248975),,,,,
390,______ ______ ________ ________ _______ ___ ___ _______,Approved,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892248976),,,,,
391,______ ______ _________ _____ _______ ___ ___ _______,Approved,2017-2018,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892248977),,,,,
392,_______ ______ _______ _______ ____ ___ ____ _____ ___ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.24565
,(1504009014/IF/93393042892250931),,,,,
393,_______ __________ ______ ______ _____ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.18644
,(1504009014/IF/93393042892250938),,,,,
394,_______ ______ _______ _________ _______ ___ ____ ______ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892251016),,,,,
395,_______ ______ ______ _______ ____ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.20916
,(1504009014/IF/93393042892251065),,,,,
396,_______ ______ ____ ________ ____ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.20916
,(1504009014/IF/93393042892251066),,,,,
397,_______ ______ _______ ______ ____ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892251067),,,,,
398,_______ ______ ______ ______ ____ ___ _________ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.25896
,(1504009014/IF/93393042892252064),,,,,
399,_______ ______ _______ _______ ____ ___ _________ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.20916
,(1504009014/IF/93393042892252068),,,,,
400,_______ ______ ______ ______ ____ ___ _________ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.22659
,(1504009014/IF/93393042892252070),,,,,
401,_______ ______ ________ _______ _________ ___ _________ ___ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892252072),,,,,
402,______ ______ ______ ______ ______ ___ _________ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.19173
,(1504009014/IF/93393042892252182),,,,,
403,_______ ______ _______ ______ ____ ___ ____ _____ ___ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.21663
,(1504009014/IF/93393042892252194),,,,,
404,_______ ______ ____ ______ ____ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.1992
,(1504009014/IF/93393042892252329),,,,,
405,______ ______ ______ _______ ____ ___ _________ ___ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892252337),,,,,
406,______ ______ ________ ______ ______ ___ _________ ___ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.23138
,(1504009014/IF/93393042892252339),,,,,
407,_______ ______ _____ ______ ____ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892252500),,,,,
408,______ ______ _______ _______ _________ ___ ____ _____ ___ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.1925
,(1504009014/IF/93393042892252508),,,,,
409,______ ______ ____ _____ _______ ___ _________ ___ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.20916
,(1504009014/IF/93393042892252675),,,,,
410,______ ______ ______ ______ ____ ___ _________ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.1992
,(1504009014/IF/93393042892252678),,,,,
411,_______ _______ _______ _______ ___ ____ _____ ___ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892252689),,,,,
412,_______ ______ _________ ______ _______ ___ ____ _____ ___ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892252691),,,,,
413,_______ ______ ______ ______ _________ ___ ____ _____ ___ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.16434
,(1504009014/IF/93393042892252692),,,,,
414,_______ ______ ______ ______ ____ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892252822),,,,,
415,_______ ______ ________ _______ ____ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.1992
,(1504009014/IF/93393042892252828),,,,,
416,_______ ______ ______ _______ _____ ___ ____ _____ ___ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.20916
,(1504009014/IF/93393042892253137),,,,,
417,_______ ______ ____ _____ _____ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.23157
,(1504009014/IF/93393042892253138),,,,,
418,______ ______ _______ _______ ______________ ___ ____ _____ ___ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2762
,(1504009014/IF/93393042892253447),,,,,
419,______ ______ _______ ____________ ______ ___ ____ _____ ___ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892253453),,,,,
420,______ ______ ______ _______ ____ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892253603),,,,,
421,______ ______ ______ ______ ______ ___ ____ _____ ___ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.23406
,(1504009014/IF/93393042892253605),,,,,
422,_______ ______ _______ _______ __ _____ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892254235),,,,,
423,________ ______ ________ ______ ______ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.20916
,(1504009014/IF/93393042892255018),,,,,
424,______ ______ ______ _______ ______ ___ ____ _____ ___ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.19173
,(1504009014/IF/93393042892255043),,,,,
425,______ ______ ________ ________ ______ ___ ____ _____ ___ _______,On Going,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.15438
,(1504009014/IF/93393042892255046),,,,,
426,______ ______ ____ _________ _______ ___ ____ _____ ___ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892255047),,,,,
427,______ ______ _____ ______ _________ ___ ____ _____ ___ _______,Approved,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0
,(1504009014/IF/93393042892255049),,,,,
428,______ ______ _______ _______ ____________ ___ ____ _____ ___ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892255051),,,,,
429,______ ______ ______ _______ ____ ___ ____ ____ ___ _______,Completed,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.2241
,(1504009014/IF/93393042892256153),,,,,
430,_______ ______ ______ _____ _______ ___ ____ _____ ___ _______,physical complete,2018-2019,Gram Panchayat,Works on Individuals Land (Category IV),0.20916
,(1504009014/IF/93393042892258285),,,,,
